feature,mean_absolute_shap
loss_recovery_score,5.6969852642313
investment_experience_index,4.57386511906325
risk_tolerance_score,3.2964789871055515
liquidity_preference_index,2.915491616533692
long_term_orientation_score,2.875304466036989
reaction_to_20_percent_loss_Hold and wait,2.43525844211935
behavioral_confidence_score,1.681303673594814
investment_horizon_years,1.472529121528562
preferred_liquidity_Flexible,1.0638220863576435
reaction_to_20_percent_loss_Reduce investments,0.8560468480075724
preferred_liquidity_Within 3 months,0.817938873635625
previous_investment_experience_Beginner,0.7910242988553715
financial_preparedness,0.7724236036884896
investment_readiness_score,0.7085662427280852
previous_investment_experience_Intermediate,0.6735801401662651
income_stability_Stable,0.6198698445485311
financial_confidence_High,0.4929802687515027
investment_goal_Children education,0.48598975638336744
investment_goal_Major purchase,0.48168445730242615
financial_confidence_Moderate,0.47668107244007696
